# Ag,Au,Cu,Pd,Pt,CN selectivity
0.00,0.26,0.74,-0.00,0.00,0.7243
0.00,0.26,0.74,-0.00,0.00,0.7170
0.00,0.26,0.74,-0.00,0.00,0.7449
0.00,0.26,0.74,-0.00,0.00,0.7458
-0.00,0.24,0.76,-0.00,0.00,0.7258
0.00,0.26,0.74,-0.00,0.00,0.7322
0.00,0.26,0.74,-0.00,0.00,0.7596
0.00,0.26,0.74,-0.00,0.00,0.7369
-0.00,0.24,0.76,-0.00,0.00,0.7527
-0.00,0.23,0.77,-0.00,0.00,0.7299
-0.00,0.23,0.77,-0.00,0.00,0.7361
-0.00,0.23,0.77,-0.00,0.00,0.7393
-0.00,0.22,0.78,-0.00,0.00,0.7353
0.00,0.22,0.78,-0.00,0.00,0.7370
0.00,0.22,0.78,-0.00,0.00,0.7318
0.00,0.22,0.78,-0.00,0.00,0.7349
0.00,0.22,0.78,-0.00,0.00,0.7351
0.00,0.22,0.78,-0.00,0.00,0.7232
-0.00,0.23,0.77,-0.00,0.00,0.7242
-0.00,0.23,0.77,-0.00,0.00,0.7637
0.00,0.22,0.78,-0.00,0.00,0.7094
-0.00,0.24,0.76,-0.00,0.00,0.7164
-0.00,0.24,0.76,-0.00,0.00,0.7407
-0.00,0.24,0.76,-0.00,0.00,0.7463
-0.00,0.24,0.76,-0.00,0.00,0.7447
-0.00,0.23,0.77,-0.00,0.00,0.7235
-0.00,0.24,0.76,-0.00,0.00,0.7451
-0.00,0.23,0.77,-0.00,0.00,0.7163
-0.00,0.24,0.76,-0.00,0.00,0.7430
-0.00,0.24,0.76,-0.00,0.00,0.7233
-0.00,0.24,0.76,-0.00,0.00,0.7041
0.00,0.26,0.74,-0.00,0.00,0.7355
0.00,0.26,0.74,-0.00,0.00,0.7374
0.00,0.26,0.74,-0.00,0.00,0.7275
0.00,0.26,0.74,-0.00,0.00,0.7006
0.00,0.26,0.74,-0.00,0.00,0.7593
0.00,0.26,0.74,-0.00,0.00,0.7331
0.00,0.26,0.74,-0.00,0.00,0.7447
0.00,0.26,0.74,-0.00,0.00,0.6767
0.00,0.26,0.74,-0.00,0.00,0.6983
0.00,0.26,0.74,-0.00,0.00,0.7040
-0.00,0.24,0.76,-0.00,0.00,0.7331
-0.00,0.24,0.76,-0.00,0.00,0.7120
0.00,0.26,0.74,-0.00,0.00,0.7519
0.00,0.26,0.74,-0.00,0.00,0.7391
0.00,0.26,0.74,-0.00,0.00,0.7268
0.00,0.26,0.74,-0.00,0.00,0.7187
0.00,0.26,0.74,-0.00,0.00,0.7656
0.00,0.26,0.74,-0.00,0.00,0.7238
0.00,0.26,0.74,-0.00,0.00,0.7509
0.00,0.26,0.74,-0.00,0.00,0.7042
0.00,0.26,0.74,-0.00,0.00,0.7030
0.00,0.26,0.74,-0.00,0.00,0.7499
0.00,0.26,0.74,-0.00,0.00,0.7802
0.00,0.26,0.74,-0.00,0.00,0.7501
0.00,0.26,0.74,-0.00,0.00,0.7278
0.00,0.26,0.74,-0.00,0.00,0.6937
0.00,0.26,0.74,-0.00,0.00,0.7411
0.00,0.26,0.74,-0.00,0.00,0.7246
0.00,0.26,0.74,-0.00,0.00,0.7453
0.00,0.26,0.74,-0.00,0.00,0.7053
0.00,0.26,0.74,-0.00,0.00,0.7017
0.00,0.26,0.74,-0.00,0.00,0.7325
0.00,0.26,0.74,-0.00,0.00,0.7688
0.00,0.26,0.74,-0.00,0.00,0.7152
0.00,0.26,0.74,-0.00,0.00,0.7290
0.00,0.26,0.74,-0.00,0.00,0.7430
0.00,0.26,0.74,-0.00,0.00,0.7255
0.00,0.26,0.74,-0.00,0.00,0.7207
0.00,0.26,0.74,-0.00,0.00,0.7121
0.00,0.26,0.74,-0.00,0.00,0.7283
0.00,0.26,0.74,-0.00,0.00,0.7047
0.00,0.26,0.74,-0.00,0.00,0.7405
0.00,0.26,0.74,-0.00,0.00,0.7054
-0.00,0.24,0.76,-0.00,0.00,0.7152
0.00,0.26,0.74,-0.00,0.00,0.7527
0.00,0.26,0.74,-0.00,0.00,0.7366
0.00,0.26,0.74,-0.00,0.00,0.7511
0.00,0.26,0.74,-0.00,0.00,0.7332
0.00,0.26,0.74,-0.00,0.00,0.7233
0.00,0.26,0.74,-0.00,0.00,0.7242
