1.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000
0.90,0.10,0.00,0.0000,0.2148,0.0077,0.0077
0.90,0.00,0.10,0.0288,0.0899,0.0167,0.0178
0.80,0.20,0.00,0.0000,0.4063,0.0216,0.0220
0.80,0.10,0.10,0.0290,0.2398,0.0554,0.0595
0.80,0.00,0.20,0.1031,0.1660,0.0431,0.0458
0.70,0.30,0.00,0.0000,0.5372,0.0354,0.0364
0.70,0.20,0.10,0.0410,0.3466,0.0813,0.0875
0.70,0.10,0.20,0.1015,0.2881,0.0762,0.0832
0.70,0.00,0.30,0.2148,0.2252,0.0609,0.0667
0.60,0.40,0.00,0.0000,0.6381,0.0438,0.0449
0.60,0.30,0.10,0.0505,0.4797,0.0888,0.0934
0.60,0.20,0.20,0.1130,0.3822,0.0956,0.1019
0.60,0.10,0.30,0.2279,0.3295,0.0729,0.0778
0.60,0.00,0.40,0.3453,0.2665,0.0513,0.0549
0.50,0.50,0.00,0.0000,0.7326,0.0367,0.0375
0.50,0.40,0.10,0.0671,0.5909,0.0774,0.0809
0.50,0.30,0.20,0.1486,0.4829,0.0880,0.0940
0.50,0.20,0.30,0.2428,0.4130,0.0803,0.0858
0.50,0.10,0.40,0.3428,0.3427,0.0624,0.0667
0.50,0.00,0.50,0.4918,0.2746,0.0325,0.0347
0.40,0.60,0.00,0.0000,0.8049,0.0257,0.0263
0.40,0.50,0.10,0.0767,0.6973,0.0613,0.0635
0.40,0.40,0.20,0.1724,0.5674,0.0713,0.0743
0.40,0.30,0.30,0.2764,0.4827,0.0646,0.0678
0.40,0.20,0.40,0.3792,0.4050,0.0522,0.0549
0.40,0.10,0.50,0.5121,0.3288,0.0321,0.0333
0.40,0.00,0.60,0.6447,0.2347,0.0129,0.0131
0.30,0.70,0.00,0.0000,0.8688,0.0149,0.0149
0.30,0.60,0.10,0.0861,0.7435,0.0431,0.0445
0.30,0.50,0.20,0.2002,0.6266,0.0540,0.0557
0.30,0.40,0.30,0.3066,0.5322,0.0450,0.0463
0.30,0.30,0.40,0.4256,0.4287,0.0339,0.0349
0.30,0.20,0.50,0.5355,0.3581,0.0255,0.0258
0.30,0.10,0.60,0.6624,0.2626,0.0128,0.0131
0.30,0.00,0.70,0.7809,0.1652,0.0050,0.0051
0.20,0.80,0.00,0.0000,0.9289,0.0054,0.0054
0.20,0.70,0.10,0.0982,0.8156,0.0223,0.0224
0.20,0.60,0.20,0.2139,0.6784,0.0315,0.0322
0.20,0.50,0.30,0.3241,0.5869,0.0273,0.0278
0.20,0.40,0.40,0.4494,0.4684,0.0220,0.0223
0.20,0.30,0.50,0.5625,0.3872,0.0139,0.0140
0.20,0.20,0.60,0.6932,0.2684,0.0076,0.0077
0.20,0.10,0.70,0.7897,0.1842,0.0039,0.0039
0.20,0.00,0.80,0.8953,0.0888,0.0007,0.0007
0.10,0.90,0.00,0.0000,0.9591,0.0011,0.0011
0.10,0.80,0.10,0.0807,0.8787,0.0082,0.0082
0.10,0.70,0.20,0.1805,0.7450,0.0145,0.0146
0.10,0.60,0.30,0.3122,0.6476,0.0119,0.0119
0.10,0.50,0.40,0.4520,0.5117,0.0105,0.0105
0.10,0.40,0.50,0.5832,0.3828,0.0084,0.0085
0.10,0.30,0.60,0.7157,0.2591,0.0036,0.0036
0.10,0.20,0.70,0.8150,0.1685,0.0019,0.0019
0.10,0.10,0.80,0.9097,0.0814,0.0002,0.0002
0.10,0.00,0.90,0.9718,0.0222,0.0000,0.0000
0.00,1.00,0.00,0.0000,0.9686,0.0000,0.0000
0.00,0.90,0.10,0.0302,0.9444,0.0021,0.0021
0.00,0.80,0.20,0.1076,0.8500,0.0084,0.0085
0.00,0.70,0.30,0.2317,0.7297,0.0065,0.0065
0.00,0.60,0.40,0.3745,0.5777,0.0107,0.0107
0.00,0.50,0.50,0.5317,0.4453,0.0036,0.0037
0.00,0.40,0.60,0.6956,0.2942,0.0013,0.0013
0.00,0.30,0.70,0.8328,0.1618,0.0002,0.0002
0.00,0.20,0.80,0.9171,0.0767,0.0000,0.0000
0.00,0.10,0.90,0.9775,0.0094,0.0000,0.0000
0.00,0.00,1.00,1.0000,0.0000,0.0000,0.0000
