# Au,Cu,Pd,P_NO=1,H,NO_NH3,NO_CN,CO_NO_pairs,P_NO=0.1,H,NO_NH3,NO_CN,CO_NO_pairs
0.55,0.0,0.45,,0.4242,0.3096,0.0295,0.0308,,0.4315,0.2158,0.0375,0.0392
0.5,0.5,0.0,,0.0,0.7541,0.0468,0.0476,,0.0,0.0451,0.0954,0.1331
0.5,0.45,0.05,,0.0172,0.6585,0.0729,0.0759,,0.0182,0.1035,0.132,0.1708
0.5,0.4,0.1,,0.0434,0.6286,0.0815,0.0854,,0.0463,0.1052,0.1188,0.1511
0.5,0.35000000000000003,0.15000000000000002,,0.0776,0.5862,0.0851,0.0902,,0.0815,0.1167,0.1181,0.1469
0.5,0.30000000000000004,0.2,,0.1242,0.5286,0.0805,0.0849,,0.1181,0.1128,0.1019,0.125
0.5,0.25,0.25,,0.1655,0.5026,0.0791,0.0841,,0.1723,0.2072,0.1118,0.1298
0.5,0.2,0.30000000000000004,,0.2286,0.4665,0.0684,0.0724,,0.2337,0.218,0.0953,0.1083
0.5,0.15000000000000002,0.35000000000000003,,0.282,0.4085,0.0644,0.0699,,0.2994,0.2348,0.0716,0.0798
0.5,0.1,0.4,,0.3563,0.3839,0.0452,0.0478,,0.3519,0.2447,0.0615,0.0671
0.5,0.05,0.45,,0.4201,0.3496,0.0342,0.0359,,0.4239,0.2512,0.0471,0.0506
0.5,0.0,0.5,,0.4941,0.305,0.022,0.0229,,0.5012,0.2269,0.0282,0.0291
0.45,0.55,0.0,,0.0,0.7824,0.0392,0.0405,,0.0,0.0759,0.1273,0.1707
0.45,0.5,0.05,,0.0183,0.6997,0.0672,0.0691,,0.0157,0.0841,0.1282,0.1677
0.45,0.45,0.1,,0.0421,0.6767,0.072,0.0749,,0.0422,0.0823,0.1199,0.1576
0.45,0.4,0.15000000000000002,,0.0812,0.6251,0.0827,0.0871,,0.0761,0.1333,0.1309,0.1642
0.45,0.35000000000000003,0.2,,0.1265,0.5718,0.0808,0.0839,,0.1243,0.1696,0.1289,0.152
0.45,0.30000000000000004,0.25,,0.1718,0.5321,0.0751,0.0801,,0.1761,0.1547,0.103,0.123
0.45,0.25,0.30000000000000004,,0.238,0.4916,0.0678,0.0721,,0.2228,0.2041,0.1027,0.1176
0.45,0.2,0.35000000000000003,,0.3015,0.4475,0.061,0.064,,0.2851,0.2445,0.086,0.0972
0.45,0.15000000000000002,0.4,,0.3638,0.4193,0.0431,0.0452,,0.3562,0.2443,0.068,0.0759
0.45,0.1,0.45,,0.4285,0.3634,0.0357,0.037,,0.426,0.2281,0.0444,0.0484
0.45,0.05,0.5,,0.4924,0.3333,0.0282,0.0291,,0.5009,0.2327,0.0334,0.0357
0.45,0.0,0.55,,0.5673,0.2909,0.0148,0.0152,,0.5844,0.177,0.0181,0.0192
0.4,0.6000000000000001,0.0,,0.0,0.8535,0.0288,0.029,,0.0,0.0862,0.1366,0.1859
0.4,0.55,0.05,,0.0154,0.785,0.0501,0.0511,,0.0133,0.0463,0.113,0.1626
0.4,0.5,0.1,,0.0415,0.7445,0.0619,0.0644,,0.0385,0.0913,0.1359,0.1831
0.4,0.45,0.15000000000000002,,0.0779,0.6843,0.0714,0.0746,,0.0774,0.1085,0.1263,0.1595
0.4,0.4,0.2,,0.1222,0.6379,0.0698,0.0733,,0.1251,0.1401,0.1247,0.1536
0.4,0.35000000000000003,0.25,,0.1721,0.573,0.0742,0.0787,,0.1721,0.2054,0.1274,0.1519
0.4,0.30000000000000004,0.30000000000000004,,0.2409,0.5343,0.059,0.0626,,0.2336,0.2309,0.1019,0.1189
0.4,0.25,0.35000000000000003,,0.2913,0.4976,0.0533,0.0553,,0.2892,0.1759,0.0777,0.089
0.4,0.2,0.4,,0.363,0.452,0.0423,0.0441,,0.3567,0.2204,0.0614,0.0677
0.4,0.15000000000000002,0.45,,0.433,0.4064,0.0351,0.0366,,0.4248,0.228,0.0492,0.0543
0.4,0.1,0.5,,0.4998,0.3433,0.0287,0.0302,,0.5132,0.2349,0.0329,0.0357
0.4,0.05,0.55,,0.579,0.3069,0.017,0.0175,,0.565,0.219,0.0232,0.0244
0.4,0.0,0.6000000000000001,,0.6499,0.2522,0.008,0.0081,,0.6528,0.1806,0.0123,0.0131
0.35000000000000003,0.65,0.0,,0.0,0.9035,0.0191,0.0191,,0.0,0.0607,0.1287,0.1812
0.35000000000000003,0.6000000000000001,0.05,,0.0127,0.8459,0.0383,0.0391,,0.0124,0.0644,0.1439,0.2002
0.35000000000000003,0.55,0.1,,0.038,0.7775,0.0567,0.0579,,0.0405,0.0885,0.1415,0.1933
0.35000000000000003,0.5,0.15000000000000002,,0.0723,0.7065,0.065,0.0678,,0.0772,0.0914,0.132,0.1746
0.35000000000000003,0.45,0.2,,0.1244,0.6796,0.063,0.064,,0.116,0.158,0.1459,0.1772
0.35000000000000003,0.4,0.25,,0.1636,0.6192,0.0677,0.0708,,0.162,0.1785,0.1246,0.1522
0.35000000000000003,0.35000000000000003,0.30000000000000004,,0.2233,0.5726,0.0636,0.067,,0.2278,0.1779,0.1032,0.1199
0.35000000000000003,0.30000000000000004,0.35000000000000003,,0.2932,0.5191,0.0534,0.0554,,0.2867,0.2644,0.0957,0.1083
0.35000000000000003,0.25,0.4,,0.3615,0.4672,0.0477,0.049,,0.36,0.2356,0.069,0.0763
0.35000000000000003,0.2,0.45,,0.4225,0.4202,0.0389,0.0407,,0.4308,0.2429,0.0555,0.0609
0.35000000000000003,0.15000000000000002,0.5,,0.4925,0.3881,0.0256,0.026,,0.5118,0.2349,0.0383,0.0406
0.35000000000000003,0.1,0.55,,0.5806,0.3286,0.0131,0.0135,,0.5739,0.2275,0.0239,0.0247
0.35000000000000003,0.05,0.6000000000000001,,0.6451,0.2689,0.0115,0.0117,,0.6435,0.2012,0.015,0.0159
0.35000000000000003,0.0,0.65,,0.7239,0.2092,0.0064,0.0064,,0.7124,0.1545,0.0078,0.0079
0.30000000000000004,0.7000000000000001,0.0,,0.0,0.9236,0.0131,0.0131,,0.0,0.0596,0.1422,0.2002
0.30000000000000004,0.65,0.05,,0.0107,0.8793,0.0282,0.0285,,0.0121,0.0579,0.1381,0.2011
0.30000000000000004,0.6000000000000001,0.1,,0.0371,0.7951,0.0492,0.0505,,0.0351,0.0754,0.149,0.2042
0.30000000000000004,0.55,0.15000000000000002,,0.0651,0.7836,0.0471,0.0485,,0.0746,0.0826,0.1355,0.1858
0.30000000000000004,0.5,0.2,,0.1155,0.6809,0.0601,0.0629,,0.1133,0.0927,0.1248,0.1643
0.30000000000000004,0.45,0.25,,0.1674,0.6612,0.0595,0.0621,,0.1699,0.1292,0.1175,0.1461
0.30000000000000004,0.4,0.30000000000000004,,0.2246,0.6076,0.0541,0.0562,,0.2236,0.1717,0.1025,0.1219
0.30000000000000004,0.35000000000000003,0.35000000000000003,,0.2954,0.5688,0.0406,0.0423,,0.2938,0.2359,0.0939,0.1066
0.30000000000000004,0.30000000000000004,0.4,,0.3669,0.4943,0.0386,0.0404,,0.3623,0.2261,0.0699,0.0789
0.30000000000000004,0.25,0.45,,0.4375,0.4496,0.0286,0.0292,,0.4295,0.1908,0.049,0.0542
0.30000000000000004,0.2,0.5,,0.5072,0.3975,0.0225,0.0227,,0.4961,0.2542,0.0441,0.0472
0.30000000000000004,0.15000000000000002,0.55,,0.5757,0.3483,0.0141,0.0145,,0.5703,0.2279,0.0261,0.0273
0.30000000000000004,0.1,0.6000000000000001,,0.642,0.282,0.0123,0.0126,,0.6496,0.1911,0.0142,0.015
0.30000000000000004,0.05,0.65,,0.7224,0.2236,0.0057,0.0057,,0.715,0.1834,0.0092,0.0093
0.30000000000000004,0.0,0.7000000000000001,,0.7816,0.1729,0.0036,0.0036,,0.7806,0.1239,0.0037,0.0037
0.25,0.75,0.0,,0.0,0.9273,0.0106,0.0106,,0.0,0.0552,0.1459,0.2088
0.25,0.7000000000000001,0.05,,0.011,0.9092,0.021,0.0213,,0.0106,0.0616,0.1479,0.2117
0.25,0.65,0.1,,0.0327,0.8744,0.0281,0.0286,,0.0334,0.0491,0.132,0.1918
0.25,0.6000000000000001,0.15000000000000002,,0.0609,0.7736,0.0504,0.052,,0.0631,0.0508,0.1255,0.1829
0.25,0.55,0.2,,0.1137,0.7324,0.0457,0.0468,,0.109,0.064,0.1148,0.1605
0.25,0.5,0.25,,0.1627,0.6937,0.0484,0.0504,,0.1611,0.1038,0.1198,0.1542
0.25,0.45,0.30000000000000004,,0.2221,0.6488,0.0453,0.0469,,0.2273,0.1345,0.1105,0.1343
0.25,0.4,0.35000000000000003,,0.2858,0.5777,0.0415,0.0434,,0.2956,0.1699,0.0933,0.1074
0.25,0.35000000000000003,0.4,,0.3407,0.537,0.0361,0.0375,,0.3649,0.2873,0.0766,0.0835
0.25,0.30000000000000004,0.45,,0.4288,0.4844,0.0246,0.0252,,0.4302,0.2878,0.0543,0.0578
0.25,0.25,0.5,,0.4938,0.4127,0.0232,0.024,,0.497,0.2268,0.0424,0.045
0.25,0.2,0.55,,0.5732,0.3565,0.0152,0.0157,,0.5877,0.1939,0.0225,0.0238
0.25,0.15000000000000002,0.6000000000000001,,0.6328,0.3135,0.0114,0.0116,,0.6539,0.2039,0.0182,0.0186
0.25,0.1,0.65,,0.7116,0.2408,0.0087,0.0088,,0.7187,0.1454,0.0095,0.0099
0.25,0.05,0.7000000000000001,,0.7865,0.1789,0.0025,0.0025,,0.7901,0.1082,0.0031,0.0031
0.25,0.0,0.75,,0.8423,0.1272,0.0016,0.0017,,0.8375,0.0933,0.002,0.002
0.2,0.8,0.0,,0.0,0.9588,0.005,0.005,,0.0,0.0637,0.1611,0.2294
0.2,0.75,0.05,,0.0086,0.9353,0.0157,0.0158,,0.009,0.0501,0.1442,0.2185
0.2,0.7000000000000001,0.1,,0.0309,0.8711,0.0311,0.0313,,0.0292,0.0643,0.1587,0.2294
0.2,0.65,0.15000000000000002,,0.065,0.8269,0.0375,0.0388,,0.0648,0.0539,0.1311,0.1922
0.2,0.6000000000000001,0.2,,0.1139,0.7743,0.0372,0.0384,,0.1135,0.0951,0.1432,0.188
0.2,0.55,0.25,,0.1601,0.7304,0.0382,0.0395,,0.1608,0.095,0.1199,0.1597
0.2,0.5,0.30000000000000004,,0.2234,0.6756,0.0328,0.0334,,0.2171,0.176,0.1188,0.1449
0.2,0.45,0.35000000000000003,,0.2709,0.6081,0.0392,0.0411,,0.2783,0.1832,0.0994,0.1169
0.2,0.4,0.4,,0.344,0.5554,0.0313,0.0319,,0.3505,0.2177,0.0789,0.0902
0.2,0.35000000000000003,0.45,,0.4206,0.4891,0.0274,0.028,,0.4289,0.2401,0.0565,0.0617
0.2,0.30000000000000004,0.5,,0.4972,0.424,0.022,0.0222,,0.4981,0.2179,0.0414,0.0446
0.2,0.25,0.55,,0.5857,0.3626,0.014,0.0141,,0.5895,0.2299,0.0259,0.0274
0.2,0.2,0.6000000000000001,,0.6478,0.3106,0.0085,0.0086,,0.6658,0.1805,0.0148,0.0154
0.2,0.15000000000000002,0.65,,0.721,0.241,0.0066,0.0068,,0.7344,0.1272,0.0084,0.0088
0.2,0.1,0.7000000000000001,,0.7833,0.1905,0.0031,0.0031,,0.7889,0.1061,0.0048,0.005
0.2,0.05,0.75,,0.8455,0.1314,0.0016,0.0016,,0.8409,0.0532,0.001,0.001
0.2,0.0,0.8,,0.8992,0.0872,0.0001,0.0001,,0.9032,0.0291,0.0001,0.0001
0.15000000000000002,0.8500000000000001,0.0,,0.0,0.9808,0.0012,0.0012,,0.0,0.0733,0.17,0.2422
0.15000000000000002,0.8,0.05,,0.007,0.9473,0.0105,0.0105,,0.0083,0.0632,0.1644,0.2456
0.15000000000000002,0.75,0.1,,0.0334,0.9115,0.0133,0.0133,,0.0338,0.0522,0.1536,0.2217
0.15000000000000002,0.7000000000000001,0.15000000000000002,,0.0559,0.8708,0.0232,0.0232,,0.0646,0.0535,0.1414,0.2073
0.15000000000000002,0.65,0.2,,0.1006,0.8257,0.0231,0.0233,,0.1009,0.0579,0.1317,0.1902
0.15000000000000002,0.6000000000000001,0.25,,0.161,0.7436,0.0332,0.0339,,0.1611,0.0684,0.1156,0.1588
0.15000000000000002,0.55,0.30000000000000004,,0.2125,0.6878,0.0324,0.0329,,0.217,0.1169,0.1209,0.1517
0.15000000000000002,0.5,0.35000000000000003,,0.2724,0.6426,0.0311,0.0318,,0.292,0.1721,0.0936,0.1105
0.15000000000000002,0.45,0.4,,0.353,0.5547,0.0279,0.0289,,0.3456,0.1755,0.0806,0.0917
0.15000000000000002,0.4,0.45,,0.4369,0.4934,0.0218,0.0223,,0.4142,0.1862,0.0622,0.0686
0.15000000000000002,0.35000000000000003,0.5,,0.5104,0.4277,0.0153,0.0157,,0.5002,0.2545,0.0446,0.0478
0.15000000000000002,0.30000000000000004,0.55,,0.5901,0.3701,0.0092,0.0095,,0.5738,0.2115,0.0264,0.0281
0.15000000000000002,0.25,0.6000000000000001,,0.6565,0.3097,0.0068,0.0069,,0.6517,0.1896,0.0196,0.0204
0.15000000000000002,0.2,0.65,,0.7141,0.2498,0.0062,0.0063,,0.7219,0.1583,0.0093,0.0096
0.15000000000000002,0.15000000000000002,0.7000000000000001,,0.7843,0.1924,0.0037,0.0037,,0.7865,0.1233,0.0042,0.0042
0.15000000000000002,0.1,0.75,,0.8458,0.1407,0.0012,0.0012,,0.8443,0.08,0.002,0.002
0.15000000000000002,0.05,0.8,,0.8902,0.0929,0.0004,0.0004,,0.9007,0.0434,0.0012,0.0012
0.15000000000000002,0.0,0.8500000000000001,,0.9421,0.0445,0.0001,0.0001,,0.9439,0.0173,0.0,0.0
0.1,0.9,0.0,,0.0,0.9771,0.0011,0.0011,,0.0,0.0745,0.1858,0.2705
0.1,0.8500000000000001,0.05,,0.0071,0.957,0.0038,0.0038,,0.0063,0.0545,0.167,0.25
0.1,0.8,0.1,,0.0283,0.9008,0.0124,0.0124,,0.0264,0.0575,0.1606,0.2435
0.1,0.75,0.15000000000000002,,0.0612,0.8866,0.0149,0.015,,0.0619,0.0558,0.1548,0.2247
0.1,0.7000000000000001,0.2,,0.1033,0.8328,0.0202,0.0203,,0.1079,0.0776,0.1424,0.2022
0.1,0.65,0.25,,0.1574,0.7722,0.0208,0.0214,,0.1642,0.1022,0.1326,0.1766
0.1,0.6000000000000001,0.30000000000000004,,0.2135,0.7209,0.0201,0.0204,,0.2213,0.1876,0.1224,0.1461
0.1,0.55,0.35000000000000003,,0.2854,0.6588,0.0187,0.0188,,0.2785,0.179,0.103,0.1212
0.1,0.5,0.4,,0.3483,0.5903,0.0176,0.0177,,0.3536,0.1988,0.0817,0.0946
0.1,0.45,0.45,,0.4348,0.515,0.015,0.0151,,0.4139,0.1433,0.0609,0.0698
0.1,0.4,0.5,,0.4966,0.4449,0.0146,0.0149,,0.5028,0.2461,0.0406,0.0434
0.1,0.35000000000000003,0.55,,0.5796,0.3868,0.0081,0.0082,,0.5763,0.1778,0.0276,0.0295
0.1,0.30000000000000004,0.6000000000000001,,0.6411,0.329,0.0078,0.0078,,0.6493,0.2107,0.0154,0.0158
0.1,0.25,0.65,,0.7266,0.2502,0.0049,0.0049,,0.7249,0.1673,0.0123,0.0127
0.1,0.2,0.7000000000000001,,0.7844,0.1981,0.0029,0.003,,0.7859,0.0876,0.0057,0.0058
0.1,0.15000000000000002,0.75,,0.8432,0.1449,0.0015,0.0015,,0.8489,0.0807,0.002,0.002
0.1,0.1,0.8,,0.8976,0.0945,0.0002,0.0002,,0.899,0.0366,0.0006,0.0006
0.1,0.05,0.8500000000000001,,0.9448,0.0466,0.0006,0.0006,,0.937,0.0158,0.0001,0.0001
0.1,0.0,0.9,,0.975,0.0146,0.0,0.0,,0.9739,0.0006,0.0,0.0
0.05,0.9500000000000001,0.0,,0.0,0.9831,0.0,0.0,,0.0,0.0803,0.1959,0.2773
0.05,0.9,0.05,,0.0074,0.9471,0.0038,0.0038,,0.008,0.0694,0.1867,0.273
0.05,0.8500000000000001,0.1,,0.0312,0.9393,0.004,0.004,,0.0277,0.0628,0.177,0.2587
0.05,0.8,0.15000000000000002,,0.0597,0.881,0.012,0.0121,,0.0651,0.0734,0.1639,0.2352
0.05,0.75,0.2,,0.1032,0.8287,0.0125,0.0129,,0.113,0.0766,0.1487,0.2081
0.05,0.7000000000000001,0.25,,0.1473,0.7922,0.0164,0.0165,,0.1583,0.0877,0.128,0.1743
0.05,0.65,0.30000000000000004,,0.219,0.7258,0.0169,0.0173,,0.2156,0.0741,0.1004,0.1358
0.05,0.6000000000000001,0.35000000000000003,,0.2773,0.6572,0.0163,0.0167,,0.2884,0.1349,0.1039,0.128
0.05,0.55,0.4,,0.3539,0.6013,0.0124,0.0125,,0.3557,0.1171,0.0743,0.0875
0.05,0.5,0.45,,0.4249,0.5389,0.0101,0.0101,,0.4227,0.2061,0.0622,0.069
0.05,0.45,0.5,,0.4795,0.473,0.0134,0.0134,,0.4997,0.2031,0.0455,0.0498
0.05,0.4,0.55,,0.5889,0.3719,0.0057,0.0057,,0.5658,0.1438,0.0305,0.0323
0.05,0.35000000000000003,0.6000000000000001,,0.652,0.326,0.0042,0.0042,,0.6501,0.1832,0.0155,0.0162
0.05,0.30000000000000004,0.65,,0.7048,0.2689,0.0034,0.0034,,0.7178,0.1378,0.0107,0.0109
0.05,0.25,0.7000000000000001,,0.787,0.198,0.0028,0.0028,,0.7842,0.1216,0.0046,0.0047
0.05,0.2,0.75,,0.8443,0.1443,0.0009,0.0009,,0.8465,0.0747,0.0023,0.0023
0.05,0.15000000000000002,0.8,,0.8968,0.0948,0.0001,0.0001,,0.9028,0.0324,0.001,0.001
0.05,0.1,0.8500000000000001,,0.9401,0.0498,0.0,0.0,,0.9357,0.006,0.0002,0.0002
0.05,0.05,0.9,,0.9717,0.022,0.0,0.0,,0.9743,0.0015,0.0,0.0
