# Ag,Au,Cu,Pd,Pt,CN selectivity
0.13,0.34,0.26,0.21,0.06,0.1133
0.07,0.02,0.36,0.25,0.30,0.0040
0.25,0.34,0.26,0.14,0.01,0.1609
0.45,0.43,0.12,-0.00,0.00,0.1009
0.28,0.33,0.39,-0.00,0.00,0.1000
0.37,0.23,0.16,0.24,0.00,0.1192
0.21,0.51,0.09,0.19,0.00,0.1749
0.08,0.66,-0.00,0.26,0.00,0.1311
0.11,0.66,0.21,0.03,0.00,0.1483
0.20,0.52,0.11,0.17,0.00,0.1802
0.19,0.53,0.09,0.05,0.14,0.1409
0.22,0.71,0.01,0.06,0.00,0.1074
0.23,0.49,0.21,0.06,0.00,0.1918
0.40,0.04,0.00,0.06,0.51,0.0132
0.00,0.00,0.00,0.00,1.00,0.0000
0.00,0.00,0.00,1.00,0.00,0.0000
1.00,0.00,0.00,0.00,0.00,0.0000
-0.00,0.43,0.00,0.57,0.00,0.0381
0.00,0.00,1.00,0.00,0.00,0.0000
-0.00,0.42,-0.00,0.00,0.58,0.0243
-0.00,-0.00,-0.00,0.48,0.52,0.0000
0.38,-0.00,-0.00,0.62,0.00,0.0097
0.00,0.54,0.46,0.01,0.00,0.0837
0.29,0.31,0.20,0.01,0.19,0.0949
0.00,1.00,0.00,0.00,0.00,0.0000
-0.00,-0.00,0.36,-0.00,0.64,0.0009
-0.00,-0.00,0.38,0.62,0.00,0.0029
0.59,0.00,0.33,0.08,0.00,0.1348
0.39,0.00,0.39,0.22,0.00,0.0856
0.61,-0.00,0.19,-0.00,0.19,0.0410
0.64,-0.00,0.12,0.24,0.00,0.1231
0.00,0.52,0.26,-0.00,0.22,0.1469
0.00,0.53,-0.00,0.24,0.23,0.0567
-0.00,-0.00,0.68,-0.00,0.32,0.0002
-0.00,0.72,0.00,-0.00,0.28,0.1148
-0.00,-0.00,0.69,0.31,0.00,0.0078
0.42,0.00,0.58,-0.00,0.00,0.0354
0.44,-0.00,0.00,0.32,0.24,0.0150
0.67,0.20,0.00,0.13,0.00,0.0904
0.14,0.50,0.26,0.11,0.00,0.1923
0.00,0.59,0.21,0.21,0.00,0.1765
0.15,0.52,0.19,0.13,0.00,0.1938
0.00,0.61,0.19,0.10,0.10,0.1785
0.77,-0.00,0.23,-0.00,0.00,0.1021
0.00,0.00,0.00,0.74,0.26,0.0000
0.14,0.51,0.25,-0.00,0.09,0.1485
0.13,0.54,0.19,0.14,0.00,0.2037
0.13,0.54,0.19,0.14,0.00,0.2109
0.12,0.54,0.19,0.14,0.00,0.1839
0.13,0.54,0.19,0.14,0.00,0.1933
0.13,0.54,0.19,0.14,0.00,0.1977
0.13,0.54,0.19,0.14,0.00,0.2017
0.13,0.54,0.19,0.14,0.00,0.2091
0.13,0.54,0.19,0.14,0.00,0.1969
0.13,0.54,0.19,0.14,0.00,0.1947
0.14,0.53,0.19,0.14,0.00,0.1917
0.14,0.53,0.19,0.14,0.00,0.2010
0.14,0.53,0.19,0.14,0.00,0.2065
