# Ag,Au,Cu,Pd,Pt,active sites
0.0000,0.0000,0.5000,0.0687,0.4312,0.3452
0.0000,0.0000,0.5000,0.0687,0.4312,0.3449
0.0000,0.0000,0.5000,0.0687,0.4312,0.3439
0.0000,0.0000,0.5000,0.0687,0.4312,0.3403
-0.0000,-0.0000,0.5312,-0.0000,0.4688,0.3448
-0.0000,-0.0000,0.5312,-0.0000,0.4688,0.3415
0.0000,0.0000,0.4938,0.0687,0.4375,0.3455
0.0000,0.0000,0.4938,0.0687,0.4375,0.3453
0.0000,0.0000,0.4938,0.0687,0.4375,0.3390
-0.0000,-0.0000,0.5000,0.0562,0.4438,0.3467
-0.0000,-0.0000,0.5000,0.0562,0.4438,0.3413
-0.0000,-0.0000,0.5000,0.0562,0.4438,0.3428
0.1500,0.3188,-0.0000,0.2000,0.3313,0.2856
-0.0000,-0.0000,0.2813,0.0000,0.7188,0.2298
0.6875,0.1437,0.1688,-0.0000,0.0000,0.0857
0.1812,0.1500,0.6687,-0.0000,0.0000,0.0226
0.1125,-0.0000,0.1438,0.3063,0.4375,0.3252
0.2625,-0.0000,0.0000,0.1812,0.5563,0.2676
0.2438,-0.0000,0.3750,-0.0000,0.3813,0.3328
0.0000,-0.0000,0.5437,-0.0000,0.4563,0.3428
0.0688,0.0000,0.4875,-0.0000,0.4438,0.3429
0.0000,-0.0000,0.5437,-0.0000,0.4563,0.3428
0.0000,0.2687,0.0000,-0.0000,0.7313,0.1187
0.0688,0.0000,0.4875,-0.0000,0.4438,0.3422
0.0000,0.0000,0.5062,0.0563,0.4375,0.3450
0.0000,0.0000,0.5062,0.0563,0.4375,0.3355
0.0688,0.0000,0.4875,-0.0000,0.4438,0.3469
0.0688,0.0000,0.4875,-0.0000,0.4438,0.3359
0.0000,0.0812,0.4937,-0.0000,0.4250,0.3369
0.0000,0.0000,0.5062,0.0563,0.4375,0.3475
0.0000,0.0000,0.5062,0.0563,0.4375,0.3431
0.0000,0.0000,0.5062,0.0563,0.4375,0.3432
