# Ag,Au,Cu,Pd,Pt,active sites
0.13,0.34,0.26,0.21,0.06,0.0898
0.07,0.02,0.36,0.25,0.30,0.0061
0.15,0.44,0.21,0.19,0.00,0.1394
0.16,0.78,-0.00,0.06,0.00,0.0443
0.14,0.46,0.04,0.35,0.00,0.0822
0.33,0.43,0.20,0.04,0.00,0.1221
0.13,0.51,0.36,-0.00,0.00,0.0794
0.37,0.37,0.11,0.15,0.00,0.1184
0.26,0.43,0.07,0.06,0.18,0.0472
0.34,0.26,0.28,0.12,0.00,0.1287
0.62,0.14,0.24,-0.00,0.00,0.1039
0.46,0.10,0.13,0.31,0.00,0.0804
0.36,0.26,0.32,0.06,0.00,0.1178
0.34,0.31,0.23,0.11,0.00,0.1359
-0.00,0.61,0.19,0.21,0.00,0.1382
0.53,-0.00,0.19,0.03,0.26,0.0158
0.93,0.03,0.00,0.04,0.00,0.0356
0.11,0.56,0.17,0.16,0.00,0.1451
-0.00,-0.00,0.08,0.00,0.92,0.0000
0.00,0.00,-0.00,0.99,0.01,0.0000
0.00,0.00,0.99,-0.00,0.01,0.0000
0.67,0.29,0.03,-0.00,0.00,0.0183
0.56,-0.00,0.44,-0.00,0.00,0.0861
-0.00,-0.00,-0.00,0.48,0.52,0.0000
0.00,0.73,0.23,0.04,0.00,0.1231
0.00,0.64,0.15,0.07,0.14,0.1020
-0.00,-0.00,0.38,0.62,0.00,0.0053
0.61,0.00,0.24,0.16,0.00,0.1005
-0.00,0.38,-0.00,0.00,0.62,0.0137
-0.00,-0.00,0.42,0.00,0.58,0.0000
0.32,0.00,-0.00,0.68,0.00,0.0070
-0.00,-0.00,0.69,0.31,0.00,0.0447
0.00,-0.00,0.72,-0.00,0.28,0.0000
0.32,-0.00,-0.00,0.00,0.68,0.0006
0.00,0.73,0.09,0.18,0.00,0.1222
0.29,0.00,0.71,-0.00,0.00,0.0133
0.71,0.00,-0.00,0.29,0.00,0.0748
0.00,0.99,0.01,-0.00,0.00,0.0055
-0.00,0.28,-0.00,0.72,0.00,0.0050
0.76,-0.00,0.24,-0.00,0.00,0.1199
0.36,0.00,-0.00,0.36,0.29,0.0030
-0.00,0.51,-0.00,0.26,0.23,0.0338
0.00,0.00,0.00,0.73,0.27,0.0000
0.00,0.27,0.73,-0.00,0.00,0.0063
