# Ag,Au,Cu,Pd,Pt,active sites
0.48,-0.00,0.35,0.17,0.00,0.1778
0.48,-0.00,0.35,0.17,0.00,0.1717
0.58,0.00,0.27,0.14,0.00,0.1732
0.48,0.00,0.34,0.17,0.00,0.1712
0.41,0.09,0.35,0.15,0.00,0.1729
0.53,0.04,0.29,0.14,0.00,0.1789
0.29,-0.00,0.24,-0.00,0.46,0.0064
0.53,0.04,0.29,0.14,0.00,0.1834
0.53,0.04,0.29,0.14,0.00,0.1736
0.53,0.04,0.29,0.14,0.00,0.1758
0.53,0.04,0.29,0.14,0.00,0.1715
0.53,0.04,0.29,0.14,0.00,0.1779
0.53,0.04,0.29,0.14,0.00,0.1801
0.48,-0.00,0.35,0.17,0.00,0.1844
0.54,0.02,0.30,0.14,0.00,0.1701
0.54,0.01,0.29,0.15,0.00,0.1871
0.54,0.01,0.30,0.15,0.00,0.1796
0.54,0.01,0.30,0.15,0.00,0.1795
0.54,0.01,0.30,0.15,0.00,0.1752
0.54,0.01,0.30,0.15,0.00,0.1711
0.54,0.01,0.29,0.15,0.00,0.1708
0.48,-0.00,0.35,0.17,0.00,0.1786
0.54,0.01,0.30,0.15,0.00,0.1799
0.54,0.01,0.30,0.15,0.00,0.1762
0.54,0.01,0.30,0.15,0.00,0.1831
0.54,0.01,0.30,0.15,0.00,0.1727
0.54,0.01,0.30,0.15,0.00,0.1776
0.54,0.01,0.30,0.15,0.00,0.1763
0.54,0.01,0.30,0.15,0.00,0.1792
0.54,0.01,0.30,0.15,0.00,0.1814
0.54,0.01,0.30,0.15,0.00,0.1795
0.54,0.01,0.30,0.15,0.00,0.1747
0.23,0.00,0.00,0.77,0.00,0.0010
0.54,0.01,0.30,0.15,0.00,0.1803
0.54,0.01,0.30,0.15,0.00,0.1726
0.54,0.01,0.30,0.15,0.00,0.1770
0.54,0.01,0.30,0.15,0.00,0.1718
0.54,0.01,0.30,0.15,0.00,0.1755
0.54,0.01,0.30,0.15,0.00,0.1803
0.54,0.01,0.30,0.15,0.00,0.1767
0.54,0.01,0.30,0.15,0.00,0.1818
0.54,0.01,0.30,0.15,0.00,0.1736
0.54,0.01,0.30,0.15,0.00,0.1758
0.54,0.01,0.30,0.15,0.00,0.1803
0.54,0.01,0.30,0.15,0.00,0.1715
0.54,0.01,0.30,0.15,0.00,0.1783
0.54,0.01,0.30,0.15,0.00,0.1773
0.54,0.01,0.30,0.15,0.00,0.1757
-0.00,0.81,-0.00,-0.00,0.19,0.0794
0.54,0.01,0.30,0.15,0.00,0.1773
-0.00,-0.00,0.56,0.00,0.44,0.0006
0.54,0.01,0.30,0.15,0.00,0.1845
0.54,0.01,0.30,0.15,0.00,0.1758
0.26,0.17,0.34,0.23,0.00,0.1548
0.54,0.01,0.30,0.15,0.00,0.1704
0.54,0.01,0.30,0.15,0.00,0.1770
0.48,-0.00,0.35,0.17,0.00,0.1798
0.54,0.01,0.30,0.15,0.00,0.1764
0.54,0.01,0.30,0.15,0.00,0.1732
0.54,0.01,0.30,0.15,0.00,0.1740
0.52,0.02,0.31,0.15,0.00,0.1692
0.54,0.01,0.30,0.15,0.00,0.1756
0.54,0.01,0.30,0.15,0.00,0.1851
0.54,0.01,0.30,0.15,0.00,0.1773
0.54,0.01,0.30,0.15,0.00,0.1778
0.54,0.01,0.30,0.15,0.00,0.1786
0.54,0.01,0.30,0.15,0.00,0.1815
0.54,0.01,0.30,0.15,0.00,0.1698
0.54,0.01,0.30,0.15,0.00,0.1826
0.48,-0.00,0.35,0.17,0.00,0.1799
0.54,0.00,0.31,0.15,0.00,0.1834
0.54,0.00,0.31,0.15,0.00,0.1764
0.54,0.00,0.31,0.15,0.00,0.1758
0.54,0.00,0.31,0.15,0.00,0.1769
0.54,0.00,0.31,0.15,0.00,0.1739
0.48,0.04,0.32,0.16,0.00,0.1692
0.48,-0.00,0.35,0.17,0.00,0.1743
0.54,0.00,0.31,0.15,0.00,0.1670
