# Ag,Au,Cu,Pd,Pt,active sites
0.13,0.34,0.26,0.21,0.06,0.0898
0.07,0.02,0.36,0.25,0.30,0.0061
0.15,0.44,0.21,0.19,0.00,0.1434
0.16,0.76,0.00,0.08,0.00,0.0518
0.34,0.41,0.08,0.18,0.00,0.1146
0.12,0.45,0.03,0.40,0.00,0.0700
0.27,0.46,0.28,-0.00,0.00,0.1056
0.00,0.56,0.36,0.09,0.00,0.1344
0.00,0.54,0.36,0.11,0.00,0.1499
-0.00,0.58,0.24,0.18,0.00,0.1409
0.01,0.54,0.22,0.06,0.17,0.0893
0.09,0.54,0.24,0.12,0.00,0.1592
-0.00,0.29,0.71,-0.00,0.00,0.0127
0.12,0.54,0.22,0.12,0.00,0.1543
0.74,0.22,0.00,0.04,0.00,0.0330
0.53,0.02,-0.00,0.45,0.00,0.0446
0.49,-0.00,-0.00,0.12,0.39,0.0029
0.06,0.66,0.29,-0.00,0.00,0.1076
0.44,0.56,0.00,-0.00,0.00,0.0000
0.53,0.06,0.29,0.13,0.00,0.1127
0.47,0.00,0.53,-0.00,0.00,0.0612
0.72,0.00,0.28,-0.00,0.00,0.1268
0.58,0.00,0.26,0.00,0.16,0.0317
0.71,0.00,0.13,0.16,0.00,0.0904
0.03,-0.00,0.00,0.21,0.76,0.0000
0.99,0.00,0.01,-0.00,0.00,0.0060
0.01,0.00,-0.00,0.99,0.00,0.0000
0.09,0.50,0.29,0.12,0.00,0.1621
-0.00,-0.00,0.00,0.61,0.39,0.0000
0.57,0.17,0.26,-0.00,0.00,0.1230
0.21,0.40,0.00,0.17,0.22,0.0307
-0.00,0.44,0.34,0.21,0.00,0.1305
-0.00,-0.00,0.39,0.00,0.61,0.0000
-0.00,-0.00,0.38,0.62,0.00,0.0063
0.47,0.20,0.10,0.23,0.00,0.1048
0.00,0.00,0.99,0.01,0.00,0.0000
0.00,0.37,-0.00,-0.00,0.63,0.0121
0.09,0.51,0.28,0.12,0.00,0.1559
-0.00,-0.00,0.68,0.32,0.00,0.0677
-0.00,-0.00,0.70,0.01,0.29,0.0006
0.00,0.01,-0.00,0.00,0.99,0.0000
0.24,0.13,0.00,0.63,0.00,0.0077
-0.00,0.69,-0.00,0.31,0.00,0.0756
0.09,0.51,0.27,0.13,0.00,0.1511
0.09,0.52,0.26,0.14,0.00,0.1564
