# Ag,Au,Cu,Pd,Pt,active sites
0.13,0.34,0.26,0.21,0.06,0.1138
0.07,0.02,0.36,0.25,0.30,0.0172
0.16,0.77,0.01,0.06,0.00,0.0427
1.00,0.00,0.00,0.00,0.00,0.0000
0.06,0.46,0.26,0.22,0.00,0.1208
0.09,0.39,0.10,0.41,0.00,0.1007
0.00,0.46,0.16,0.18,0.20,0.0892
0.08,0.44,0.48,-0.00,0.00,0.0520
0.00,0.34,0.31,0.34,0.00,0.1151
0.39,0.39,0.06,0.16,0.00,0.1055
0.43,0.12,0.13,0.32,0.00,0.1145
0.47,0.14,0.26,0.13,0.00,0.1627
0.57,-0.00,0.43,0.01,0.00,0.1844
0.55,-0.00,0.27,-0.00,0.18,0.0698
0.40,0.00,0.52,0.08,0.00,0.1567
0.00,0.00,0.00,0.00,1.00,0.0000
0.00,0.00,0.00,1.00,0.00,0.0000
0.53,0.00,0.34,0.13,0.00,0.1710
0.00,0.00,1.00,0.00,0.00,0.0677
-0.00,-0.00,0.00,0.53,0.47,0.0000
0.00,0.00,0.62,0.38,0.00,0.0533
-0.00,0.39,-0.00,0.00,0.61,0.0194
0.47,0.14,0.38,-0.00,0.00,0.1379
0.56,-0.00,0.44,-0.00,0.00,0.1838
0.58,0.00,0.42,-0.00,0.00,0.1932
0.62,-0.00,0.38,-0.00,0.00,0.1989
0.64,0.00,0.36,-0.00,0.00,0.1862
0.62,-0.00,0.38,-0.00,0.00,0.1845
0.61,-0.00,0.39,-0.00,0.00,0.1879
0.00,-0.00,0.72,-0.00,0.28,0.0195
0.61,-0.00,0.39,-0.00,0.00,0.1932
0.62,-0.00,0.38,-0.00,0.00,0.1895
0.71,0.29,0.00,-0.00,0.00,0.0000
-0.00,-0.00,0.32,0.68,0.00,0.0212
0.59,0.00,0.41,-0.00,0.00,0.1877
0.33,-0.00,-0.00,-0.00,0.67,0.0051
-0.00,-0.00,0.32,0.00,0.68,0.0061
-0.00,0.68,-0.00,0.32,0.00,0.0899
0.00,1.00,0.00,0.00,0.00,0.0000
0.61,-0.00,0.39,-0.00,0.00,0.1964
0.61,-0.00,0.39,-0.00,0.00,0.1825
0.59,0.00,0.41,-0.00,0.00,0.1854
0.61,-0.00,0.39,-0.00,0.00,0.1865
0.71,0.00,-0.00,0.29,0.00,0.0696
0.59,0.00,0.36,0.06,0.00,0.1809
0.59,0.00,0.41,-0.00,0.00,0.1852
0.59,0.00,0.41,-0.00,0.00,0.1956
0.59,0.00,0.41,-0.00,0.00,0.1794
0.59,0.00,0.41,-0.00,0.00,0.1861
0.61,-0.00,0.39,-0.00,0.00,0.1849
0.59,0.00,0.41,-0.00,0.00,0.1898
0.61,-0.00,0.39,-0.00,0.00,0.1921
0.61,-0.00,0.39,-0.00,0.00,0.1933
0.61,-0.00,0.39,-0.00,0.00,0.1812
0.59,0.00,0.41,-0.00,0.00,0.1789
0.61,-0.00,0.39,-0.00,0.00,0.1896
0.61,-0.00,0.39,-0.00,0.00,0.1865
0.61,-0.00,0.39,-0.00,0.00,0.1942
0.61,-0.00,0.39,-0.00,0.00,0.1934
0.62,-0.00,0.38,-0.00,0.00,0.1912
0.63,0.00,0.37,-0.00,0.00,0.1893
-0.00,0.71,0.00,0.00,0.29,0.0705
0.26,-0.00,0.74,-0.00,0.00,0.0914
0.62,-0.00,0.38,-0.00,0.00,0.1903
0.62,-0.00,0.38,-0.00,0.00,0.1842
0.61,-0.00,0.39,-0.00,0.00,0.1898
0.62,-0.00,0.38,-0.00,0.00,0.1842
0.61,-0.00,0.39,-0.00,0.00,0.1922
0.61,-0.00,0.39,-0.00,0.00,0.1819
0.61,-0.00,0.39,-0.00,0.00,0.1871
0.33,0.00,0.00,0.67,0.00,0.0086
0.61,-0.00,0.39,-0.00,0.00,0.1872
0.61,-0.00,0.39,-0.00,0.00,0.1891
0.61,-0.00,0.39,-0.00,0.00,0.1861
0.29,0.41,0.00,0.00,0.30,0.0623
0.61,-0.00,0.39,-0.00,0.00,0.1808
0.61,-0.00,0.39,-0.00,0.00,0.1871
0.61,-0.00,0.39,-0.00,0.00,0.1917
0.61,-0.00,0.39,-0.00,0.00,0.1755
0.58,-0.00,0.38,0.04,0.00,0.1807
0.61,-0.00,0.39,-0.00,0.00,0.1894
0.61,-0.00,0.39,-0.00,0.00,0.1846
