# Ag,Au,Cu,Pd,Pt,active sites
0.13,0.34,0.26,0.21,0.06,0.1432
0.07,0.02,0.36,0.25,0.30,0.0172
0.04,0.46,0.16,0.29,0.05,0.1136
0.24,0.47,0.24,0.05,0.00,0.1526
0.39,0.31,0.11,0.19,0.00,0.1218
0.08,0.42,0.49,0.01,0.00,0.1872
0.24,0.16,0.59,-0.00,0.00,0.2379
0.04,0.00,0.96,-0.00,0.00,0.2690
0.00,0.00,0.77,0.23,0.00,0.1906
0.22,0.00,0.78,-0.00,0.00,0.2790
0.00,0.00,0.00,1.00,0.00,0.0000
1.00,0.00,0.00,0.00,0.00,0.0000
0.00,1.00,0.00,0.00,0.00,0.0000
0.00,0.00,0.00,0.00,1.00,0.0000
-0.00,-0.00,0.83,0.00,0.17,0.0759
-0.00,0.51,0.00,0.00,0.49,0.0240
0.52,0.00,-0.00,-0.00,0.48,0.0120
0.48,0.00,0.52,-0.00,0.00,0.2644
0.36,0.00,0.36,0.28,0.00,0.1708
0.28,0.00,0.72,-0.00,0.00,0.2765
-0.00,-0.00,0.00,0.53,0.47,0.0000
0.00,0.00,0.37,0.63,0.00,0.0303
-0.00,0.14,0.86,-0.00,0.00,0.2459
0.41,0.00,-0.00,0.59,0.00,0.0086
0.00,0.00,1.00,0.00,0.00,0.2650
-0.00,0.32,-0.00,0.68,0.00,0.0346
0.63,0.37,0.00,-0.00,0.00,0.0000
0.46,0.00,0.39,0.00,0.15,0.0990
-0.00,-0.00,0.28,0.00,0.72,0.0031
0.73,0.00,-0.00,0.27,0.00,0.0492
-0.00,-0.00,-0.00,0.24,0.76,0.0000
0.24,-0.00,0.00,0.00,0.76,0.0012
-0.00,0.44,0.31,-0.00,0.24,0.1082
0.69,0.00,0.31,-0.00,0.00,0.1898
0.29,0.44,0.00,-0.00,0.27,0.0416
-0.00,0.33,0.00,0.33,0.34,0.0175
-0.00,0.72,0.28,-0.00,0.00,0.1085
0.00,0.77,0.00,0.00,0.23,0.0521
0.36,0.00,-0.00,0.32,0.33,0.0045
0.27,0.73,0.00,-0.00,0.00,0.0000
0.26,0.00,0.66,0.09,0.00,0.2561
-0.00,0.25,0.54,0.21,0.00,0.2142
0.22,0.00,0.78,-0.00,0.00,0.2760
-0.00,0.73,-0.00,0.27,0.00,0.0674
0.48,0.16,0.36,-0.00,0.00,0.2088
-0.00,-0.00,0.92,0.08,0.00,0.2436
0.79,-0.00,-0.00,-0.00,0.21,0.0011
0.34,0.00,0.66,-0.00,0.00,0.2694
0.16,0.00,0.84,-0.00,0.00,0.2621
0.33,0.00,0.67,-0.00,0.00,0.2789
0.33,0.00,0.67,-0.00,0.00,0.2758
0.33,0.00,0.67,-0.00,0.00,0.2805
0.34,0.00,0.66,-0.00,0.00,0.2797
0.34,0.00,0.66,-0.00,0.00,0.2783
0.34,0.00,0.66,-0.00,0.00,0.2857
0.34,0.00,0.66,-0.00,0.00,0.2763
0.34,0.00,0.66,-0.00,0.00,0.2756
0.34,0.00,0.66,-0.00,0.00,0.2830
0.34,0.00,0.66,-0.00,0.00,0.2811
0.34,0.00,0.66,-0.00,0.00,0.2800
0.34,0.00,0.66,-0.00,0.00,0.2845
0.34,0.00,0.66,-0.00,0.00,0.2810
0.34,0.00,0.66,-0.00,0.00,0.2783
0.34,0.00,0.66,-0.00,0.00,0.2749
0.34,0.00,0.66,-0.00,0.00,0.2758
0.34,0.00,0.66,-0.00,0.00,0.2754
0.33,0.00,0.67,-0.00,0.00,0.2823
0.33,0.00,0.67,-0.00,0.00,0.2819
0.33,0.00,0.67,-0.00,0.00,0.2766
