Au,Cu,Pd,active sites (P_NO=1),active sites (P_NO=0.5)
0.30,0.10,0.60,0.011600,0.012600,0.016700
0.30,0.05,0.65,0.009800,0.008700,0.010000
0.30,0.00,0.70,0.005200,0.004100,0.003700
0.25,0.75,0.00,0.013200,0.042600,0.209300
0.25,0.70,0.05,0.029600,0.090800,0.222400
0.25,0.65,0.10,0.043300,0.097400,0.206200
0.25,0.60,0.15,0.053300,0.118400,0.181200
0.25,0.55,0.20,0.052200,0.097400,0.156200
0.25,0.50,0.25,0.062400,0.082200,0.129400
0.25,0.45,0.30,0.051000,0.072800,0.108200
0.25,0.40,0.35,0.037200,0.054600,0.080400
0.25,0.35,0.40,0.029500,0.045700,0.057900
0.25,0.30,0.45,0.025100,0.031300,0.044800
0.25,0.25,0.50,0.022200,0.027600,0.034000
0.25,0.20,0.55,0.014000,0.018200,0.021500
0.25,0.15,0.60,0.012400,0.014500,0.015000
0.25,0.10,0.65,0.005900,0.005600,0.008100
0.25,0.05,0.70,0.004000,0.005400,0.004000
0.25,0.00,0.75,0.001800,0.001400,0.001200
0.20,0.80,0.00,0.007200,0.037700,0.220400
0.20,0.75,0.05,0.024300,0.072400,0.227000
0.20,0.70,0.10,0.036800,0.085300,0.214600
0.20,0.65,0.15,0.047100,0.097100,0.185500
0.20,0.60,0.20,0.043400,0.086200,0.170400
0.20,0.55,0.25,0.037900,0.080700,0.121800
0.20,0.50,0.30,0.045300,0.064000,0.092000
0.20,0.45,0.35,0.032700,0.054200,0.078000
0.20,0.40,0.40,0.031000,0.040300,0.055600
0.20,0.35,0.45,0.023500,0.034200,0.044500
0.20,0.30,0.50,0.015900,0.020100,0.024900
0.20,0.25,0.55,0.011300,0.018500,0.021000
0.20,0.20,0.60,0.009200,0.010300,0.013900
0.20,0.15,0.65,0.006100,0.006300,0.008700
0.20,0.10,0.70,0.004600,0.003900,0.004500
0.20,0.05,0.75,0.001500,0.001900,0.002900
0.20,0.00,0.80,0.000900,0.000700,0.000400
0.15,0.85,0.00,0.004200,0.022700,0.228600
0.15,0.80,0.05,0.018500,0.069900,0.238100
0.15,0.75,0.10,0.022900,0.089000,0.230200
0.15,0.70,0.15,0.034200,0.088100,0.206900
0.15,0.65,0.20,0.034600,0.085800,0.170600
0.15,0.60,0.25,0.033500,0.065400,0.139700
0.15,0.55,0.30,0.031900,0.059700,0.104200
0.15,0.50,0.35,0.027300,0.047200,0.080900
0.15,0.45,0.40,0.022500,0.035700,0.059900
0.15,0.40,0.45,0.015100,0.027700,0.048000
0.15,0.35,0.50,0.010900,0.019100,0.028800
0.15,0.30,0.55,0.009500,0.011100,0.017400
0.15,0.25,0.60,0.007700,0.011600,0.010300
0.15,0.20,0.65,0.003400,0.005700,0.008800
0.15,0.15,0.70,0.001900,0.003100,0.003300
0.15,0.10,0.75,0.001400,0.002200,0.001900
0.15,0.05,0.80,0.000200,0.000700,0.000100
0.15,0.00,0.85,0.000100,0.000000,0.000200
0.10,0.90,0.00,0.000300,0.018800,0.239300
0.10,0.85,0.05,0.008200,0.061700,0.243000
0.10,0.80,0.10,0.021200,0.059700,0.231400
0.10,0.75,0.15,0.027100,0.068500,0.206400
0.10,0.70,0.20,0.025300,0.077100,0.172800
0.10,0.65,0.25,0.034700,0.064500,0.144400
0.10,0.60,0.30,0.030800,0.052500,0.109000
0.10,0.55,0.35,0.024200,0.047300,0.079800
0.10,0.50,0.40,0.017800,0.032800,0.064600
0.10,0.45,0.45,0.013600,0.027200,0.031800
0.10,0.40,0.50,0.010900,0.021800,0.025000
0.10,0.35,0.55,0.009100,0.012200,0.017500
0.10,0.30,0.60,0.005100,0.005700,0.010200
0.10,0.25,0.65,0.002000,0.005600,0.007100
0.10,0.20,0.70,0.001800,0.002500,0.004300
0.10,0.15,0.75,0.000700,0.002000,0.001600
0.10,0.10,0.80,0.000400,0.000500,0.000100
0.10,0.05,0.85,0.000000,0.000100,0.000000
0.10,0.00,0.90,0.000100,0.000000,0.000000
0.05,0.95,0.00,0.000300,0.005600,0.248800
0.05,0.90,0.05,0.004600,0.048900,0.249600
0.05,0.85,0.10,0.015000,0.080600,0.247300
0.05,0.80,0.15,0.017000,0.074700,0.223900
0.05,0.75,0.20,0.020800,0.066700,0.194800
0.05,0.70,0.25,0.024200,0.065700,0.163800
0.05,0.65,0.30,0.021500,0.052300,0.119000
0.05,0.60,0.35,0.019000,0.040500,0.095100
0.05,0.55,0.40,0.018500,0.038800,0.068200
0.05,0.50,0.45,0.013700,0.027200,0.044600
0.05,0.45,0.50,0.009800,0.022700,0.028400
0.05,0.40,0.55,0.005400,0.013100,0.017600
0.05,0.35,0.60,0.005500,0.008300,0.014300
0.05,0.30,0.65,0.003200,0.004500,0.006200
0.05,0.25,0.70,0.001900,0.002300,0.003600
0.05,0.20,0.75,0.000800,0.000900,0.000800
0.05,0.15,0.80,0.000500,0.000600,0.000300
0.05,0.10,0.85,0.000000,0.000100,0.000000
0.05,0.05,0.90,0.000000,0.000000,0.000000
0.05,0.00,0.95,0.000000,0.000000,0.000000
0.00,1.00,0.00,0.000000,0.001000,0.230100
0.00,0.95,0.05,0.001900,0.024800,0.252700
0.00,0.90,0.10,0.009100,0.062200,0.246700
0.00,0.85,0.15,0.012600,0.077400,0.216900
0.00,0.80,0.20,0.017000,0.074500,0.209000
0.00,0.75,0.25,0.023300,0.065200,0.171000
0.00,0.70,0.30,0.021300,0.054800,0.124000
0.00,0.65,0.35,0.017300,0.046000,0.106500
0.00,0.60,0.40,0.015400,0.043900,0.074600
0.00,0.55,0.45,0.012400,0.028800,0.058000
0.00,0.50,0.50,0.010500,0.023800,0.034000
0.00,0.45,0.55,0.007200,0.013400,0.029500
0.00,0.40,0.60,0.005200,0.013700,0.014200
0.00,0.35,0.65,0.003300,0.006000,0.008500
0.00,0.30,0.70,0.002400,0.002400,0.003600
0.00,0.25,0.75,0.000900,0.001200,0.002700
0.00,0.20,0.80,0.000200,0.000100,0.000700
0.00,0.15,0.85,0.000200,0.000200,0.000100
0.00,0.10,0.90,0.000000,0.000000,0.000000
0.00,0.05,0.95,0.000000,0.000000,0.000000
0.00,0.00,1.00,0.000000,0.000000,0.000000
