Ag,Au,Cu,active sites (P_NO=1),active sites (P_NO=0.5)
0.30,0.10,0.60,0.045900,0.079600,0.215400
0.30,0.05,0.65,0.026400,0.073400,0.195300
0.30,0.00,0.70,0.013600,0.048400,0.224800
0.25,0.75,0.00,0.000000,0.000000,0.000000
0.25,0.70,0.05,0.020900,0.036900,0.043800
0.25,0.65,0.10,0.039200,0.068100,0.077700
0.25,0.60,0.15,0.062300,0.093900,0.105200
0.25,0.55,0.20,0.074200,0.112500,0.130900
0.25,0.50,0.25,0.081700,0.121300,0.150100
0.25,0.45,0.30,0.085700,0.132400,0.166200
0.25,0.40,0.35,0.091200,0.137600,0.178800
0.25,0.35,0.40,0.082000,0.122200,0.188200
0.25,0.30,0.45,0.071500,0.135200,0.188300
0.25,0.25,0.50,0.074900,0.104600,0.192900
0.25,0.20,0.55,0.041200,0.113600,0.203500
0.25,0.15,0.60,0.038500,0.077600,0.220900
0.25,0.10,0.65,0.030400,0.063500,0.222100
0.25,0.05,0.70,0.017200,0.040000,0.199300
0.25,0.00,0.75,0.009200,0.033000,0.231900
0.20,0.80,0.00,0.000000,0.000000,0.000000
0.20,0.75,0.05,0.022500,0.038100,0.041200
0.20,0.70,0.10,0.044200,0.066300,0.072900
0.20,0.65,0.15,0.059800,0.087200,0.105000
0.20,0.60,0.20,0.073600,0.115100,0.129400
0.20,0.55,0.25,0.080500,0.119000,0.151900
0.20,0.50,0.30,0.096300,0.126700,0.162600
0.20,0.45,0.35,0.091000,0.130800,0.173600
0.20,0.40,0.40,0.089500,0.127600,0.177100
0.20,0.35,0.45,0.070800,0.105900,0.192200
0.20,0.30,0.50,0.072500,0.107600,0.189000
0.20,0.25,0.55,0.057200,0.107800,0.193800
0.20,0.20,0.60,0.036800,0.088900,0.197700
0.20,0.15,0.65,0.028500,0.065200,0.214800
0.20,0.10,0.70,0.022100,0.067000,0.214200
0.20,0.05,0.75,0.013200,0.029400,0.228300
0.20,0.00,0.80,0.004900,0.029600,0.216000
0.15,0.85,0.00,0.000000,0.000000,0.000000
0.15,0.80,0.05,0.022000,0.036600,0.043600
0.15,0.75,0.10,0.040900,0.071200,0.080800
0.15,0.70,0.15,0.050300,0.085300,0.107900
0.15,0.65,0.20,0.069700,0.110600,0.128500
0.15,0.60,0.25,0.081900,0.121200,0.146700
0.15,0.55,0.30,0.086700,0.128500,0.154000
0.15,0.50,0.35,0.094400,0.154400,0.172600
0.15,0.45,0.40,0.081800,0.126200,0.183300
0.15,0.40,0.45,0.074700,0.134100,0.184500
0.15,0.35,0.50,0.067000,0.121000,0.190400
0.15,0.30,0.55,0.053500,0.087200,0.199500
0.15,0.25,0.60,0.050700,0.109900,0.216400
0.15,0.20,0.65,0.026200,0.065900,0.214600
0.15,0.15,0.70,0.026400,0.053000,0.224500
0.15,0.10,0.75,0.013800,0.037200,0.203100
