# Ag,Au,Cu,Pd,Pt,active sites
0.00,0.00,1.00,0.00,0.00,0.2666
0.00,0.00,1.00,0.00,0.00,0.2663
0.00,0.00,1.00,0.00,0.00,0.2599
0.00,0.00,1.00,0.00,0.00,0.2611
0.00,0.00,1.00,0.00,0.00,0.2737
0.00,0.00,1.00,0.00,0.00,0.2743
0.00,0.00,1.00,0.00,0.00,0.2484
0.00,0.00,1.00,0.00,0.00,0.2724
0.00,0.00,1.00,0.00,0.00,0.2619
0.00,0.00,1.00,0.00,0.00,0.2587
0.00,0.00,1.00,0.00,0.00,0.2709
1.00,0.00,0.00,0.00,0.00,0.0000
0.00,0.00,1.00,0.00,0.00,0.2610
0.00,0.00,1.00,0.00,0.00,0.2642
0.00,0.00,1.00,0.00,0.00,0.2779
0.00,0.00,1.00,0.00,0.00,0.2524
0.00,0.00,1.00,0.00,0.00,0.2627
0.00,0.00,1.00,0.00,0.00,0.2669
0.00,0.00,1.00,0.00,0.00,0.2525
0.00,0.00,1.00,0.00,0.00,0.2830
0.00,0.00,1.00,0.00,0.00,0.2741
0.00,0.00,1.00,0.00,0.00,0.2733
0.00,0.00,1.00,0.00,0.00,0.2732
0.00,0.00,1.00,0.00,0.00,0.2621
0.00,0.00,1.00,0.00,0.00,0.2679
0.00,0.00,1.00,0.00,0.00,0.2640
0.00,0.00,1.00,0.00,0.00,0.2615
1.00,0.00,0.00,0.00,0.00,0.0000
1.00,0.00,0.00,0.00,0.00,0.0000
0.00,0.00,1.00,0.00,0.00,0.2650
0.00,0.00,1.00,0.00,0.00,0.2628
0.00,0.00,1.00,0.00,0.00,0.2739
0.00,0.00,1.00,0.00,0.00,0.2591
0.00,0.00,1.00,0.00,0.00,0.2666
0.00,0.00,1.00,0.00,0.00,0.2716
0.00,0.00,1.00,0.00,0.00,0.2513
0.00,0.00,1.00,0.00,0.00,0.2615
0.00,0.00,1.00,0.00,0.00,0.2616
0.00,0.00,1.00,0.00,0.00,0.2740
0.00,0.00,1.00,0.00,0.00,0.2659
0.00,0.00,1.00,0.00,0.00,0.2613
0.00,0.00,1.00,0.00,0.00,0.2634
0.00,0.00,1.00,0.00,0.00,0.2636
0.00,0.00,1.00,0.00,0.00,0.2707
0.00,0.00,1.00,0.00,0.00,0.2642
0.00,0.00,1.00,0.00,0.00,0.2661
0.00,0.00,1.00,0.00,0.00,0.2613
1.00,0.00,0.00,0.00,0.00,0.0000
-0.00,-0.00,0.28,0.00,0.72,0.0007
1.00,0.00,0.00,0.00,0.00,0.0000
1.00,0.00,0.00,0.00,0.00,0.0000
-0.00,0.21,-0.00,0.16,0.63,0.0056
0.42,0.00,0.34,-0.00,0.23,0.0410
0.00,0.00,1.00,0.00,0.00,0.2629
0.00,0.00,1.00,0.00,0.00,0.2678
-0.00,0.56,-0.00,0.25,0.19,0.0551
1.00,0.00,0.00,0.00,0.00,0.0000
0.00,0.00,1.00,0.00,0.00,0.2682
0.00,0.00,1.00,0.00,0.00,0.2687
0.00,0.00,1.00,0.00,0.00,0.2667
0.00,0.00,1.00,0.00,0.00,0.2637
0.00,0.00,1.00,0.00,0.00,0.2578
-0.00,0.08,0.91,0.01,0.01,0.2385
0.00,0.00,1.00,0.00,0.00,0.2629
