# Ag,Au,Cu,Pd,Pt,active sites
0.13,0.34,0.26,0.21,0.06,0.0829
0.07,0.02,0.36,0.25,0.30,0.0038
0.16,0.41,0.24,0.20,0.00,0.1091
0.21,0.79,0.00,-0.00,0.00,0.0000
0.24,0.43,0.10,0.23,0.00,0.1004
0.06,0.51,0.16,0.27,0.00,0.1055
0.14,0.51,0.22,0.12,0.00,0.1145
0.34,0.39,0.26,-0.00,0.00,0.0763
0.00,0.52,0.39,0.08,0.00,0.0999
-0.00,0.18,0.82,-0.00,0.00,0.0057
0.68,0.06,-0.00,0.26,0.00,0.0524
0.39,-0.00,-0.00,0.61,0.00,0.0086
1.00,0.00,0.00,0.00,0.00,0.0000
0.54,0.00,-0.00,0.07,0.39,0.0206
-0.00,0.61,0.25,0.14,0.00,0.1299
-0.00,0.56,0.19,0.08,0.16,0.0923
-0.00,0.71,0.29,-0.00,0.00,0.0616
-0.00,0.54,0.26,0.21,0.00,0.1204
-0.00,0.56,0.24,0.20,0.00,0.1241
0.44,0.19,0.19,0.18,0.00,0.0985
0.57,0.31,0.06,0.06,0.00,0.0588
0.56,0.00,0.39,0.04,0.00,0.0826
0.34,-0.00,0.44,0.21,0.00,0.0634
0.00,0.69,0.08,0.23,0.00,0.1076
0.00,0.00,0.00,0.00,1.00,0.0000
0.40,0.00,0.37,-0.00,0.23,0.0154
0.00,0.41,-0.00,0.00,0.59,0.0184
0.00,0.00,0.00,1.00,0.00,0.0000
-0.00,-0.00,-0.00,0.43,0.57,0.0000
0.29,0.34,0.00,0.12,0.24,0.0416
0.00,0.60,0.22,0.18,0.00,0.1292
0.37,0.17,0.46,-0.00,0.00,0.0637
0.22,0.30,-0.00,0.48,0.00,0.0372
-0.00,0.62,-0.00,0.19,0.18,0.0611
0.56,-0.00,0.23,0.22,0.00,0.0854
0.00,-0.00,0.41,0.59,0.00,0.0051
0.64,0.12,0.23,-0.00,0.00,0.0696
-0.00,-0.00,0.33,-0.00,0.67,0.0010
0.29,0.00,0.00,0.00,0.71,0.0041
-0.00,-0.00,0.71,0.29,0.00,0.0083
-0.00,0.61,0.22,0.17,0.00,0.1281
0.37,-0.00,0.00,0.36,0.27,0.0060
-0.00,-0.00,0.68,-0.00,0.32,0.0000
-0.00,-0.00,0.00,0.72,0.28,0.0000
-0.00,0.32,0.36,-0.00,0.32,0.0516
0.28,0.00,0.72,-0.00,0.00,0.0157
-0.00,0.61,0.22,0.17,0.00,0.1332
0.00,0.00,1.00,0.00,0.00,0.0000
-0.00,0.61,0.22,0.17,0.00,0.1318
-0.00,0.31,-0.00,0.32,0.38,0.0102
0.00,1.00,0.00,0.00,0.00,0.0000
0.44,0.26,-0.00,0.29,0.00,0.0514
0.00,0.27,0.00,0.73,0.00,0.0072
0.77,0.00,0.00,0.00,0.23,0.0038
0.30,0.04,0.24,0.41,0.00,0.0397
-0.00,0.30,0.51,0.19,0.00,0.0792
-0.00,0.54,0.24,0.22,0.00,0.1257
-0.00,0.61,0.21,0.18,0.00,0.1323
0.04,0.60,0.19,0.17,0.00,0.1304
-0.00,0.62,0.21,0.17,0.00,0.1226
0.00,0.60,0.22,0.18,0.00,0.1286
0.00,0.60,0.22,0.18,0.00,0.1219
-0.00,0.59,0.22,0.19,0.00,0.1248
-0.00,0.59,0.22,0.19,0.00,0.1266
0.02,0.59,0.22,0.17,0.00,0.1306
0.04,0.58,0.21,0.17,0.00,0.1275
0.02,0.59,0.22,0.17,0.00,0.1249
0.00,0.60,0.22,0.18,0.00,0.1331
0.00,0.60,0.22,0.18,0.00,0.1236
0.00,0.60,0.22,0.18,0.00,0.1376
-0.00,0.59,0.22,0.19,0.00,0.1247
-0.00,0.59,0.22,0.19,0.00,0.1356
-0.00,0.59,0.22,0.19,0.00,0.1226
-0.00,0.59,0.22,0.19,0.00,0.1309
-0.00,0.59,0.22,0.19,0.00,0.1228
-0.00,0.59,0.22,0.19,0.00,0.1333
-0.00,0.59,0.22,0.19,0.00,0.1282
-0.00,0.59,0.23,0.18,0.00,0.1320
-0.00,0.59,0.23,0.18,0.00,0.1251
-0.00,0.59,0.23,0.18,0.00,0.1262
-0.00,0.59,0.22,0.19,0.00,0.1309
-0.00,0.59,0.22,0.19,0.00,0.1378
-0.00,0.59,0.22,0.19,0.00,0.1254
-0.00,0.59,0.22,0.19,0.00,0.1265
-0.00,0.59,0.22,0.19,0.00,0.1237
-0.00,0.59,0.22,0.19,0.00,0.1345
-0.00,0.59,0.22,0.19,0.00,0.1363
-0.00,0.59,0.22,0.19,0.00,0.1228
-0.00,0.59,0.22,0.19,0.00,0.1244
-0.00,0.59,0.22,0.19,0.00,0.1270
-0.00,0.59,0.22,0.19,0.00,0.1235
-0.00,0.59,0.22,0.19,0.00,0.1276
