# Ag,Au,Cu,Pd,Pt,active sites
0.13,0.34,0.26,0.21,0.06,0.1060
0.07,0.02,0.36,0.25,0.30,0.0051
0.04,0.42,0.24,0.28,0.02,0.1136
0.19,0.61,0.08,0.12,0.00,0.1045
0.03,0.56,0.41,0.01,0.00,0.0945
0.21,0.37,-0.00,0.42,0.00,0.0520
0.01,0.54,0.16,0.12,0.18,0.1041
0.09,0.51,0.24,0.16,0.00,0.1480
0.24,0.48,0.26,0.01,0.00,0.1091
0.00,0.62,0.20,0.18,0.00,0.1456
0.00,0.77,0.22,0.01,0.00,0.0882
0.58,0.11,0.18,0.14,0.00,0.1290
0.58,0.00,0.39,0.03,0.00,0.1251
0.61,-0.00,0.19,-0.00,0.20,0.0348
0.46,0.00,0.31,0.23,0.00,0.1130
0.45,0.17,0.33,0.05,0.00,0.1350
0.34,0.00,0.66,-0.00,0.00,0.0385
1.00,0.00,0.00,0.00,0.00,0.0000
0.42,0.30,0.14,0.14,0.00,0.1312
0.00,0.00,0.00,0.00,1.00,0.0000
0.54,0.00,0.00,0.46,0.00,0.0352
0.59,0.24,0.17,-0.00,0.00,0.0890
0.00,0.00,0.00,1.00,0.00,0.0000
-0.00,-0.00,-0.00,0.42,0.58,0.0000
-0.00,0.38,-0.00,0.00,0.62,0.0163
-0.00,0.67,0.00,0.33,0.00,0.0778
0.00,0.00,1.00,0.00,0.00,0.0008
0.34,0.26,0.00,0.16,0.24,0.0429
-0.00,-0.00,0.36,-0.00,0.64,0.0011
0.41,0.17,0.21,0.21,0.00,0.1238
0.00,0.56,0.27,0.17,0.00,0.1517
0.00,0.00,0.64,0.36,0.00,0.0339
0.56,0.24,0.00,0.21,0.00,0.0665
0.00,-0.00,0.33,0.67,0.00,0.0037
0.00,0.56,0.27,0.17,0.00,0.1413
0.06,0.55,0.22,0.17,0.00,0.1449
0.00,0.58,0.24,0.18,0.00,0.1520
0.00,0.58,0.24,0.18,0.00,0.1482
0.33,-0.00,-0.00,-0.00,0.67,0.0062
0.06,0.55,0.22,0.17,0.00,0.1413
-0.00,0.58,0.24,0.18,0.00,0.1530
-0.00,0.58,0.24,0.18,0.00,0.1445
0.00,0.00,0.69,-0.00,0.31,0.0001
-0.00,0.58,0.24,0.17,0.00,0.1462
