site, 1st layer, 2nd layer, 3rd layer, adsorption energy (eV), row id ads, row id slab
0,0,0,1,0,1,0,3,1,1,0,0,0,0,3,1,0,0,2,0,-1.254913,1,1
0,0,1,0,0,0,0,3,1,2,0,1,1,0,1,0,0,1,2,0,-0.577393,2,1
0,0,0,0,1,1,0,2,2,1,0,0,2,0,1,2,0,0,1,0,-1.322086,3,1
0,0,1,0,0,1,0,2,2,1,0,1,0,1,1,0,0,0,2,1,-0.472305,4,1
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,-1.446313,5,1
1,0,0,0,0,0,0,3,1,2,1,0,1,0,1,1,1,0,0,1,-0.273419,6,1
0,0,0,1,0,0,0,3,1,2,0,1,0,1,1,1,0,0,2,0,-1.250504,7,1
0,0,1,0,0,1,0,3,1,1,1,0,1,1,0,1,0,1,0,1,-0.477422,9,1
0,0,1,0,0,3,0,1,1,1,0,0,2,1,0,2,0,1,0,0,-0.551338,10,2
0,0,0,0,1,2,1,1,1,1,1,0,2,0,0,3,0,0,0,0,-1.184712,11,2
0,0,0,1,0,1,1,2,0,2,1,0,2,0,0,1,0,1,1,0,-0.943099,12,2
1,0,0,0,0,1,1,2,0,2,0,1,1,1,0,3,0,0,0,0,-0.224795,13,2
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,-1.341567,14,2
1,0,0,0,0,2,1,1,1,1,0,0,2,1,0,2,0,1,0,0,-0.189288,15,2
0,0,1,0,0,2,1,1,1,1,0,1,1,0,1,2,0,0,1,0,-0.535271,16,2
1,0,0,0,0,1,1,2,0,2,0,0,2,0,1,3,0,0,0,0,-0.213884,17,2
0,1,0,0,0,3,0,1,1,1,1,1,1,0,0,2,0,0,1,0,-0.376269,18,2
1,0,0,0,0,0,2,1,2,1,0,1,0,1,1,0,0,1,2,0,-0.273473,19,3
0,0,0,1,0,2,1,1,1,1,1,0,0,1,1,0,0,1,1,1,-1.177657,20,3
0,1,0,0,0,2,1,0,3,0,0,2,0,1,0,1,0,1,0,1,-0.401629,21,3
